rank,region,ip,port,source,score
1,香港,172.64.148.42,2087,bettbox-good,-9998
2,香港,172.64.149.181,8443,bettbox-good,-9990
3,台湾,172.64.149.144,2096,bettbox-good,-9980
4,台湾,172.64.147.120,8443,bettbox-good,-9975
5,美国,172.64.147.118,2053,focus_148_connect_top.csv,223
6,美国,172.64.148.107,8443,focus_148_connect_top.csv,225
7,美国,172.64.147.189,443,focus_148_connect_top.csv,229
8,日本,172.64.148.90,2083,focus_148_connect_top.csv,234
9,日本,172.64.148.113,2087,focus_148_connect_top.csv,237
10,韩国,172.64.147.152,2096,focus_148_connect_top.csv,238
11,韩国,172.64.147.50,2096,focus_148_connect_top.csv,244
12,新加坡,172.64.147.22,2096,focus_148_connect_top.csv,246
13,新加坡,172.64.148.22,2053,focus_148_connect_top.csv,246
14,马来西亚,172.64.147.138,2096,focus_148_connect_top.csv,248
15,马来西亚,172.64.147.100,2053,focus_148_connect_top.csv,253
16,印度,172.64.149.195,8443,focus_148_connect_top.csv,253
17,印度,172.64.147.65,2087,focus_148_connect_top.csv,254
18,越南,172.64.147.14,2083,focus_148_connect_top.csv,256
19,越南,172.64.148.191,2053,focus_148_connect_top.csv,257
20,香港,172.64.148.95,2096,focus_148_connect_top.csv,262
