rank,region,no,ip,port,source,connect_ms,appconnect_ms,total_ms,http_code
1,香港,1,172.64.148.42,2053,confirmed,4,1191,1305,404
2,香港,2,172.64.148.42,2087,confirmed,2,0,1129,000
3,香港,3,162.159.200.7,443,hk_sub,3,0,252,000
4,香港,4,162.159.192.1,443,hk_sub,6,0,3003,000
5,台湾,1,162.159.192.3,443,hk_sub,6,0,311,000
6,台湾,2,162.159.192.4,443,hk_sub,2,0,314,000
7,台湾,3,162.159.192.5,443,hk_sub,4,0,231,000
8,美国,1,162.159.192.6,443,hk_sub,3,0,3004,000
9,美国,2,162.159.192.7,443,hk_sub,2,0,230,000
10,美国,3,162.159.193.9,443,hk_sub,2,0,3004,000
11,美国,4,162.159.192.2,443,hk_sub,2,0,304,000
12,日本,1,104.18.3.9,443,hk_sub,2,726,1050,404
13,日本,2,162.159.192.10,443,hk_sub,4,1330,1474,404
14,日本,3,162.159.193.10,443,hk_sub,2,0,945,000
15,日本,4,104.18.4.11,443,hk_sub,3,0,3002,000
16,韩国,1,104.18.3.3,443,hk_sub,3,0,284,000
17,韩国,2,104.18.4.5,443,hk_sub,3,0,1510,000
18,韩国,3,104.18.4.16,443,hk_sub,2,0,575,000
19,新加坡,1,104.18.4.10,443,hk_sub,2,0,3003,000
20,新加坡,2,162.159.192.9,443,hk_sub,1,0,1721,000
21,新加坡,3,162.159.200.1,443,hk_sub,2,0,527,000
22,新加坡,4,104.18.2.3,443,hk_sub,6,0,331,000
23,马来西亚,1,162.159.192.16,443,hk_sub,4,0,231,000
24,马来西亚,2,104.18.5.9,443,hk_sub,3,0,258,000
25,马来西亚,3,162.159.193.2,443,hk_sub,2,0,246,000
26,印度,1,162.159.193.8,443,hk_sub,3,0,228,000
27,印度,2,104.18.0.8,443,hk_sub,2,0,762,000
28,印度,3,162.159.192.11,443,hk_sub,2,0,892,000
29,越南,1,162.159.193.16,443,hk_sub,6,0,298,000
30,越南,2,104.18.5.4,443,hk_sub,3,0,289,000
