rank,ip,port,connect_ms,appconnect_ms,total_ms,source,score
1,172.64.147.115,2083,34,82,147,current_deep,114.89
2,172.64.147.115,2053,37,82,148,current_deep,121.82
3,104.16.147.68,2087,27,208,395,current_deep,148.79
4,104.17.223.115,2096,28,204,398,current_deep,149.83
5,104.17.220.11,2053,29,205,396,current_deep,152.21
6,104.19.36.183,2087,28,212,406,current_deep,152.89
7,104.19.38.100,2096,29,209,394,current_deep,153.39
8,104.17.148.26,2053,29,209,402,current_deep,153.85
9,104.17.110.81,8443,29,210,404,current_deep,154.29
10,104.17.30.21,2096,30,206,400,current_deep,154.93
11,104.17.181.18,8443,30,206,401,current_deep,154.99
12,104.17.18.85,2087,29,212,405,current_deep,155.00
13,104.16.249.45,2096,29,216,405,current_deep,156.30
14,104.17.106.4,8443,30,210,403,current_deep,156.40
15,104.17.103.38,8443,30,210,405,current_deep,156.52
16,104.17.20.63,2096,30,211,400,current_deep,156.55
17,104.17.148.102,2053,31,206,399,current_deep,157.03
18,104.17.22.30,443,30,212,406,current_deep,157.22
19,104.17.181.145,2083,30,213,405,current_deep,157.49
20,104.17.21.187,8443,29,217,422,current_deep,157.60
